Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,26.48,26.49,26.11,26.28,11085,26.28
2025-05-28,26.13,26.38,25.94,26.12,11936,26.12
2025-05-29,26.27,27.1,26.13,26.99,25117,26.99
2025-05-30,26.99,27.25,26.5,26.58,22006,26.58
2025-06-03,26.41,27.17,26.29,26.85,17808,26.85
2025-06-04,26.83,27.12,26.68,27.08,17023,27.08
2025-06-05,27.01,27.24,26.95,27.05,18823,27.05
2025-06-06,27.07,27.18,26.81,26.89,15962,26.89
2025-06-09,26.89,27.48,26.89,27.33,22226,27.33
2025-06-10,27.36,27.56,26.88,27.28,22508,27.28
2025-06-11,27.29,27.66,27.25,27.53,17447,27.53
2025-06-12,27.48,27.88,27.34,27.56,21995,27.56
2025-06-13,27.48,27.54,26.53,26.57,29942,26.57
2025-06-16,26.57,27.41,26.46,27.33,28066,27.33
2025-06-17,27.33,27.44,27.0,27.21,19600,27.21
2025-06-18,27.16,27.31,26.78,27.14,17770,27.14
2025-06-19,27.05,27.17,26.63,26.73,16259,26.73
2025-06-20,26.59,26.98,26.08,26.12,19747,26.12
2025-06-23,26.0,26.55,25.93,26.48,15321,26.48
2025-06-24,26.54,27.38,26.38,27.28,22830,27.28
2025-06-25,27.3,27.53,26.99,27.51,24238,27.51
2025-06-26,27.58,27.7,27.29,27.56,22985,27.56
2025-06-27,28.48,28.78,27.79,27.94,43347,27.94
2025-06-30,27.95,28.92,27.92,28.71,58306,28.71
2025-07-01,28.67,29.35,28.13,28.91,61599,28.91
2025-07-02,28.73,29.33,28.23,28.78,57512,28.78
2025-07-03,28.8,30.81,28.8,30.23,131481,30.23
2025-07-04,30.09,32.12,30.09,31.43,147702,31.43
2025-07-07,31.98,34.24,31.98,33.24,155329,33.24
2025-07-08,33.11,33.54,32.5,33.25,93655,33.25
2025-07-09,33.17,34.24,32.4,32.63,93462,32.63
2025-07-10,32.54,32.73,31.98,32.15,62258,32.15
2025-07-11,32.19,32.57,31.47,31.81,52457,31.81
2025-07-14,31.89,31.89,30.99,31.21,42757,31.21
2025-07-15,31.38,33.78,31.38,33.71,140689,33.71
2025-07-16,33.91,34.79,32.8,33.32,86270,33.32
2025-07-17,33.28,34.33,32.86,34.07,82655,34.07
