Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,32.2,32.58,31.7,32.03,17501,32.03
2025-05-28,31.86,32.98,31.77,32.64,19060,32.64
2025-05-29,32.5,33.11,32.41,32.99,17312,32.99
2025-05-30,32.99,33.22,32.44,32.85,19311,32.85
2025-06-03,32.61,32.95,32.05,32.71,17608,32.71
2025-06-04,32.61,34.8,32.52,34.11,32187,34.11
2025-06-05,34.11,37.21,33.55,36.06,51684,36.06
2025-06-06,35.81,36.49,35.01,35.21,36989,35.21
2025-06-09,35.49,35.88,34.85,35.36,28280,35.36
2025-06-10,35.2,35.3,33.86,34.3,30087,34.3
2025-06-11,34.31,34.98,34.14,34.24,20526,34.24
2025-06-12,34.25,35.05,34.15,34.37,16536,34.37
2025-06-13,34.13,34.56,33.32,34.48,29075,34.48
2025-06-16,34.37,34.7,33.47,34.6,27716,34.6
2025-06-17,34.53,35.17,33.76,33.79,19400,33.79
2025-06-18,34.15,34.15,32.63,33.1,28038,33.1
2025-06-19,33.01,33.65,32.56,32.71,19845,32.71
2025-06-20,32.81,33.09,32.19,32.33,12173,32.33
2025-06-23,32.19,32.89,32.19,32.71,16125,32.71
2025-06-24,33.01,34.7,32.57,33.98,24937,33.98
2025-06-25,34.01,34.53,33.75,34.19,18884,34.19
2025-06-26,34.29,34.29,33.21,33.79,15451,33.79
2025-06-27,33.98,34.35,33.53,33.89,12261,33.89
2025-06-30,33.81,35.86,33.81,35.55,38701,35.55
2025-07-01,35.7,37.3,35.36,36.99,37553,36.99
2025-07-02,36.96,37.42,35.56,35.8,27397,35.8
2025-07-03,35.8,36.62,35.52,35.64,20214,35.64
2025-07-04,35.8,35.83,34.87,35.01,18664,35.01
2025-07-07,34.99,36.7,34.85,36.53,28890,36.53
2025-07-08,36.34,37.55,36.04,37.17,25666,37.17
2025-07-09,37.2,37.62,36.7,36.99,16134,36.99
2025-07-10,36.71,37.38,36.28,36.67,15791,36.67
2025-07-11,36.8,38.68,36.51,38.46,40529,38.46
2025-07-14,37.99,39.58,37.65,38.57,41292,38.57
