Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,4.81,4.85,4.77,4.84,157814,4.84
2025-05-28,4.84,4.87,4.8,4.8,128063,4.8
2025-05-29,4.81,4.84,4.8,4.84,108034,4.84
2025-05-30,4.84,4.84,4.8,4.81,152050,4.81
2025-06-03,4.8,4.81,4.78,4.8,114639,4.8
2025-06-04,4.82,4.83,4.79,4.81,157612,4.81
2025-06-05,4.81,4.83,4.79,4.81,130933,4.81
2025-06-06,4.81,4.84,4.8,4.83,146699,4.83
2025-06-09,4.82,4.87,4.82,4.86,155008,4.86
2025-06-10,4.86,4.87,4.79,4.83,162245,4.83
2025-06-11,4.83,4.86,4.82,4.84,120237,4.84
2025-06-12,4.84,4.84,4.79,4.81,151134,4.81
2025-06-13,4.8,4.84,4.77,4.78,186905,4.78
2025-06-16,4.78,4.8,4.76,4.8,108938,4.8
2025-06-17,4.79,4.82,4.78,4.81,83870,4.81
2025-06-18,4.8,4.83,4.78,4.8,129058,4.8
2025-06-19,4.79,4.8,4.74,4.75,114598,4.75
2025-06-20,4.76,4.78,4.74,4.74,79252,4.74
2025-06-23,4.74,4.78,4.71,4.75,156390,4.75
2025-06-24,4.75,4.81,4.74,4.79,144100,4.79
2025-06-25,4.82,4.84,4.79,4.84,148194,4.84
2025-06-26,4.84,4.88,4.83,4.85,161861,4.85
2025-06-27,4.85,4.89,4.85,4.89,177543,4.89
2025-06-30,4.9,4.9,4.85,4.86,140310,4.86
2025-07-01,4.86,4.89,4.84,4.88,128838,4.88
2025-07-02,4.88,4.97,4.86,4.97,287200,4.97
2025-07-03,4.97,4.98,4.91,4.95,157181,4.95
2025-07-04,4.95,4.97,4.91,4.92,138280,4.92
2025-07-07,4.92,4.93,4.89,4.93,108897,4.93
2025-07-08,4.93,5.0,4.91,4.99,210800,4.99
2025-07-09,4.98,5.0,4.95,4.97,157732,4.97
2025-07-10,4.96,5.05,4.96,5.05,245910,5.05
2025-07-11,5.1,5.25,5.07,5.08,399944,5.08
2025-07-14,5.06,5.12,5.03,5.05,235636,5.05
2025-07-15,5.05,5.07,4.96,4.98,216652,4.98
2025-07-16,4.99,5.0,4.95,4.97,127662,4.97
2025-07-17,4.96,4.99,4.94,4.98,134674,4.98
