Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,30.664685625370463,30.664685625370463,30.13581331196118,30.225622177124023,4933750,
2025-05-28,30.28549548473268,30.57487813851794,30.23560061111811,30.27551651000977,3228807,
2025-05-29,30.4351749754873,30.86426135343936,30.315429187314383,30.85428237915039,4750524,
2025-05-30,30.854283999332324,30.854283999332324,30.23560088399177,30.28549575805664,4816982,
2025-06-03,30.315429699001477,30.704602089661133,30.18570683764476,30.45513343811035,4190823,
2025-06-04,30.59483528875197,30.764474048020507,30.45513345287015,30.73453712463379,3748006,
2025-06-05,30.684643655667948,31.65258132319722,30.644727758469344,31.27338981628418,6661664,
2025-06-06,31.2833704252281,31.47296714023895,30.974029818953955,31.263412475585938,4513992,
2025-06-09,31.293349126474425,31.403114041957043,31.09377343838724,31.253433227539062,4542861,
2025-06-10,31.28337013302422,31.32328412864089,30.53496415808725,30.694623947143555,5521892,
2025-06-11,30.73453659097748,31.03390010976239,30.69462259711633,30.85428237915039,3777929,
2025-06-12,30.834326054689416,30.834326054689416,30.475092477838466,30.56489944458008,4003682,
2025-06-13,30.450000762939453,30.56999969482422,29.709999084472656,29.76000022888184,7613907,
2025-06-16,29.700000762939453,29.940000534057617,29.530000686645508,29.8700008392334,3423400,
2025-06-17,29.979999542236328,29.979999542236328,29.6299991607666,29.8700008392334,3831109,
2025-06-18,29.75,30.100000381469727,29.6200008392334,29.959999084472656,5369038,
2025-06-19,29.75,30.290000915527344,29.6200008392334,29.729999542236328,6045406,
2025-06-20,29.700000762939453,29.899999618530277,29.239999771118164,29.239999771118164,5818194,
2025-06-23,29.11000061035156,29.729999542236328,28.989999771118164,29.479999542236328,4801025,
2025-06-24,29.540000915527344,30.299999237060547,29.540000915527344,30.299999237060547,6786071,
2025-06-25,30.299999237060547,30.600000381469727,30.1299991607666,30.56999969482422,6782865,
2025-06-26,30.6299991607666,30.739999771118164,30.299999237060547,30.31999969482422,5550800,
2025-06-27,30.5,30.850000381469727,30.450000762939453,30.549999237060547,6065286,
2025-06-30,30.6200008392334,30.899999618530277,30.549999237060547,30.739999771118164,5653254,
2025-07-01,30.700000762939453,31.059999465942383,30.459999084472656,30.850000381469727,6682978,
