Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,3.63,3.66,3.61,3.65,84965,3.65
2025-05-28,3.68,3.7,3.66,3.68,126259,3.68
2025-05-29,3.69,3.69,3.65,3.68,108026,3.68
2025-05-30,3.67,3.72,3.66,3.7,95107,3.7
2025-06-03,3.69,3.72,3.68,3.7,85769,3.7
2025-06-04,3.7,3.73,3.7,3.71,98464,3.71
2025-06-05,3.72,3.72,3.66,3.67,142051,3.67
2025-06-06,3.67,3.82,3.67,3.79,376215,3.79
2025-06-09,3.76,3.82,3.75,3.77,172341,3.77
2025-06-10,3.77,3.79,3.7,3.74,189825,3.74
2025-06-11,3.73,3.79,3.72,3.77,162921,3.77
2025-06-12,3.76,3.77,3.73,3.74,96943,3.74
2025-06-13,3.74,3.75,3.67,3.68,160895,3.68
2025-06-16,3.68,3.7,3.65,3.69,125644,3.69
2025-06-17,3.7,3.71,3.67,3.7,93592,3.7
2025-06-18,3.69,3.7,3.64,3.65,112225,3.65
2025-06-19,3.64,3.66,3.57,3.58,154302,3.58
2025-06-20,3.58,3.61,3.57,3.59,62400,3.59
2025-06-23,3.57,3.61,3.55,3.61,80362,3.61
2025-06-24,3.62,3.66,3.61,3.66,96674,3.66
2025-06-25,3.67,3.68,3.64,3.68,118512,3.68
2025-06-26,3.68,3.68,3.64,3.66,95662,3.66
2025-06-27,3.66,3.68,3.65,3.67,114411,3.67
2025-06-30,3.67,3.68,3.65,3.66,117661,3.66
2025-07-01,3.66,3.67,3.65,3.67,74070,3.67
2025-07-02,3.67,3.77,3.66,3.75,316168,3.75
2025-07-03,3.75,3.76,3.72,3.73,145083,3.73
2025-07-04,3.72,3.81,3.72,3.75,219320,3.75
2025-07-07,3.74,3.77,3.72,3.77,137610,3.77
2025-07-08,3.77,3.8,3.75,3.79,153409,3.79
2025-07-09,3.8,3.86,3.79,3.81,271793,3.81
2025-07-10,3.84,3.9,3.83,3.85,210383,3.85
2025-07-11,3.85,3.87,3.82,3.85,227985,3.85
2025-07-14,3.84,3.87,3.82,3.83,182041,3.83
2025-07-15,3.83,3.84,3.75,3.77,215649,3.77
2025-07-16,3.78,3.79,3.75,3.77,119761,3.77
2025-07-17,3.76,3.79,3.75,3.77,113064,3.77
2025-07-18,3.78,3.78,3.75,3.77,139411,3.77
2025-07-21,3.96,4.15,3.93,4.15,1315475,4.15
2025-07-22,4.42,4.57,4.28,4.5,3065165,4.5
2025-07-23,4.36,4.49,4.21,4.32,1930271,4.32
2025-07-24,4.26,4.48,4.23,4.38,1215170,4.38
2025-07-25,4.38,4.43,4.26,4.3,693350,4.3
2025-07-28,4.3,4.31,4.21,4.26,448310,4.26
2025-07-29,4.28,4.29,4.18,4.24,564590,4.24
2025-07-30,4.22,4.24,4.13,4.16,455341,4.16
2025-07-31,4.16,4.16,4.02,4.04,470077,4.04
2025-08-01,4.04,4.07,4.01,4.03,255002,4.03
2025-08-04,4.01,4.03,3.96,3.99,228958,3.99
2025-08-05,4.02,4.04,3.98,3.99,295512,3.99
2025-08-06,4.0,4.01,3.95,4.0,262393,4.0
2025-08-07,4.05,4.09,4.01,4.01,395964,4.01
2025-08-08,4.02,4.41,4.0,4.41,1090310,4.41
2025-08-11,4.85,4.85,4.61,4.85,3645898,4.85
2025-08-12,4.62,4.8,4.55,4.6,2417715,4.6
2025-08-13,4.65,4.75,4.48,4.5,1747849,4.5
2025-08-14,4.47,4.5,4.27,4.28,1331227,4.28
2025-08-15,4.29,4.4,4.27,4.36,846490,4.36
2025-08-18,4.39,4.45,4.37,4.4,811649,4.4
2025-08-19,4.4,4.44,4.33,4.35,571476,4.35
2025-08-20,4.35,4.39,4.32,4.36,490750,4.36
2025-08-21,4.36,4.38,4.3,4.31,488778,4.31
2025-08-22,4.31,4.74,4.3,4.74,2006038,4.74
2025-08-25,4.79,5.09,4.72,4.92,2367991,4.92
2025-08-26,4.86,4.88,4.73,4.74,1150061,4.74
2025-08-27,4.75,4.77,4.6,4.61,834842,4.61
2025-08-28,4.61,4.63,4.49,4.61,666949,4.61
2025-08-29,4.64,4.67,4.55,4.57,509291,4.57
2025-09-01,4.57,4.71,4.52,4.64,785437,4.64
2025-09-02,4.65,4.68,4.53,4.61,552878,4.61
2025-09-03,4.62,4.87,4.55,4.75,1136253,4.75
2025-09-04,4.72,4.81,4.57,4.7,927414,4.7
2025-09-05,4.71,4.86,4.63,4.81,794387,4.81
2025-09-08,4.79,4.89,4.69,4.72,749124,4.72
2025-09-09,4.7,4.71,4.57,4.63,624190,4.63
2025-09-10,4.62,4.78,4.53,4.65,591301,4.65
2025-09-11,4.63,4.67,4.54,4.66,463829,4.66
2025-09-12,4.65,4.8,4.64,4.73,682335,4.73
2025-09-15,4.72,4.77,4.62,4.75,523753,4.75
2025-09-16,4.75,4.75,4.62,4.67,450181,4.67
2025-09-17,4.65,4.65,4.57,4.63,381918,4.63
2025-09-18,4.63,4.65,4.47,4.5,495692,4.5
2025-09-19,4.52,4.89,4.49,4.79,1313765,4.79
2025-09-22,4.79,4.81,4.55,4.6,771651,4.6
2025-09-23,4.6,4.61,4.34,4.53,706652,4.53
2025-09-24,4.58,4.63,4.29,4.43,847055,4.43
2025-09-25,4.45,4.52,4.33,4.36,450035,4.36
2025-09-26,4.35,4.35,4.25,4.25,393760,4.25
2025-09-29,4.3,4.37,4.21,4.32,394054,4.32
2025-09-30,4.35,4.45,4.31,4.43,495589,4.43
2025-10-09,4.52,4.78,4.51,4.68,1267319,4.68
2025-10-10,4.66,4.88,4.63,4.83,1159652,4.83
2025-10-13,4.68,4.84,4.67,4.79,731158,4.79
2025-10-14,4.77,4.93,4.77,4.79,722255,4.79
2025-10-15,4.81,4.99,4.81,4.92,834307,4.92
2025-10-16,4.9,4.91,4.71,4.74,662195,4.74
2025-10-17,4.76,4.77,4.66,4.67,454033,4.67
2025-10-20,4.7,4.72,4.6,4.69,364016,4.69
2025-10-21,4.7,5.07,4.68,4.89,1013440,4.89
2025-10-22,4.9,5.05,4.86,4.92,983424,4.92
2025-10-23,4.88,4.89,4.68,4.84,709951,4.84
