Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,8.08,8.08,7.86,7.9,103873,7.9
2025-05-28,7.98,8.36,7.95,8.21,175271,8.21
2025-05-29,8.19,8.32,8.15,8.18,129309,8.18
2025-05-30,8.17,8.21,7.95,8.01,93552,8.01
2025-06-03,7.96,8.04,7.95,7.98,55497,7.98
2025-06-04,8.04,8.22,7.99,8.08,108007,8.08
2025-06-05,8.15,8.16,7.95,8.03,87581,8.03
2025-06-06,8.04,8.04,7.95,7.96,59450,7.96
2025-06-09,7.99,8.09,7.92,8.04,67032,8.04
2025-06-10,8.06,8.06,7.86,7.93,67127,7.93
2025-06-11,7.93,7.97,7.89,7.91,54856,7.91
2025-06-12,7.9,7.9,7.71,7.75,114291,7.75
2025-06-13,7.75,7.75,7.48,7.52,96635,7.52
2025-06-16,7.52,7.58,7.46,7.58,53379,7.58
2025-06-17,7.59,7.67,7.54,7.56,56710,7.56
2025-06-18,7.55,7.55,7.37,7.45,66737,7.45
2025-06-19,7.43,7.49,7.27,7.28,67029,7.28
2025-06-20,7.28,7.35,7.21,7.22,48865,7.22
2025-06-23,7.17,7.51,7.15,7.42,96338,7.42
2025-06-24,7.41,7.58,7.41,7.58,86784,7.58
2025-06-25,7.59,7.74,7.53,7.67,83047,7.67
2025-06-26,7.71,7.75,7.61,7.63,79997,7.63
2025-06-27,7.7,7.7,7.56,7.58,51231,7.58
2025-06-30,7.6,7.62,7.54,7.58,61216,7.58
2025-07-01,7.6,7.6,7.41,7.44,99341,7.44
2025-07-02,7.44,7.45,7.26,7.35,79685,7.35
2025-07-03,7.37,7.4,7.33,7.35,55178,7.35
2025-07-04,7.37,7.37,7.23,7.25,63745,7.25
2025-07-07,7.22,7.3,7.19,7.28,39386,7.28
2025-07-08,7.28,7.43,7.27,7.41,67238,7.41
2025-07-09,7.42,7.49,7.34,7.36,61284,7.36
2025-07-10,7.37,7.5,7.35,7.48,76701,7.48
