Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,2.55,2.56,2.51,2.55,311213,2.55
2025-05-28,2.54,2.57,2.5,2.51,335631,2.51
2025-05-29,2.52,2.76,2.52,2.76,1370504,2.76
2025-05-30,2.75,3.0,2.7,2.85,2015120,2.85
2025-06-03,2.83,2.95,2.83,2.88,1066168,2.88
2025-06-04,2.88,2.9,2.82,2.9,773513,2.9
2025-06-05,2.9,2.97,2.83,2.92,853281,2.92
2025-06-06,2.93,3.03,2.82,2.84,935553,2.84
2025-06-09,2.89,2.92,2.84,2.9,727677,2.9
2025-06-10,2.9,2.9,2.83,2.86,421180,2.86
2025-06-11,2.87,2.94,2.84,2.85,415303,2.85
2025-06-12,2.86,2.91,2.81,2.84,338564,2.84
2025-06-13,2.82,2.83,2.69,2.69,513401,2.69
2025-06-16,2.69,2.78,2.68,2.71,333682,2.71
2025-06-17,2.71,2.74,2.68,2.7,288384,2.7
2025-06-18,2.7,2.7,2.63,2.65,283522,2.65
2025-06-19,2.64,2.65,2.52,2.54,357155,2.54
2025-06-20,2.56,2.58,2.5,2.57,291517,2.57
2025-06-23,2.55,2.61,2.5,2.61,296491,2.61
2025-06-24,2.62,2.73,2.59,2.7,351935,2.7
2025-06-25,2.69,2.73,2.68,2.71,262772,2.71
2025-06-26,2.74,2.89,2.67,2.76,641712,2.76
2025-06-27,2.72,2.83,2.7,2.76,375347,2.76
2025-06-30,2.76,2.8,2.73,2.76,301872,2.76
2025-07-01,2.76,2.78,2.67,2.7,287522,2.7
2025-07-02,2.7,2.71,2.66,2.7,208919,2.7
2025-07-03,2.7,2.73,2.66,2.67,172541,2.67
2025-07-04,2.66,2.75,2.65,2.66,396704,2.66
2025-07-07,2.65,2.7,2.64,2.69,270036,2.69
2025-07-08,2.68,2.72,2.67,2.7,242707,2.7
2025-07-09,2.69,2.74,2.68,2.71,280649,2.71
2025-07-10,2.7,2.94,2.67,2.81,1006249,2.81
2025-07-11,2.75,2.86,2.69,2.75,732075,2.75
2025-07-14,2.74,2.75,2.67,2.67,410921,2.67
2025-07-15,2.66,2.66,2.55,2.58,499320,2.58
2025-07-16,2.59,2.63,2.58,2.61,225860,2.61
2025-07-17,2.61,2.62,2.58,2.61,224487,2.61
2025-07-18,2.62,2.62,2.56,2.57,227050,2.57
2025-07-21,2.57,2.69,2.57,2.62,460858,2.62
2025-07-22,2.65,2.66,2.58,2.6,304982,2.6
2025-07-23,2.61,2.63,2.56,2.56,326011,2.56
2025-07-24,2.56,2.6,2.55,2.58,275311,2.58
2025-07-25,2.6,2.84,2.58,2.84,1230468,2.84
2025-07-28,2.84,2.86,2.71,2.72,1609678,2.72
2025-07-29,2.73,2.75,2.64,2.69,747607,2.69
2025-07-30,2.69,2.72,2.65,2.68,514536,2.68
2025-07-31,2.67,2.78,2.66,2.68,778586,2.68
2025-08-01,2.67,2.77,2.63,2.64,501061,2.64
2025-08-04,2.61,2.66,2.57,2.66,368352,2.66
2025-08-05,2.66,2.71,2.65,2.68,362337,2.68
2025-08-06,2.69,2.72,2.64,2.7,432860,2.7
2025-08-07,2.69,2.72,2.67,2.67,360625,2.67
2025-08-08,2.67,2.69,2.65,2.68,277449,2.68
2025-08-11,2.67,2.76,2.67,2.73,518639,2.73
2025-08-12,2.72,2.76,2.7,2.71,342705,2.71
