Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,53.02,53.89,52.93,53.22,360323,53.22
2025-05-28,53.39,54.73,53.13,54.05,358050,54.05
2025-05-29,53.95,54.39,53.66,53.9,354853,53.9
2025-05-30,54.09,55.46,54.05,54.54,471422,54.54
2025-06-03,54.54,55.58,54.05,54.68,434450,54.68
2025-06-04,54.64,55.64,54.41,55.09,368593,55.09
2025-06-05,54.9,54.9,53.35,53.68,495273,53.68
2025-06-06,53.7,53.98,53.18,53.6,344534,53.6
2025-06-09,53.8,55.59,53.58,54.16,656906,54.16
2025-06-10,54.18,55.6,54.18,54.93,480735,54.93
2025-06-11,54.8,55.61,54.35,54.51,377736,54.51
2025-06-12,54.2,56.0,53.8,55.62,493188,55.62
2025-06-13,55.49,55.86,53.36,53.69,660238,53.69
2025-06-16,53.21,53.88,52.9,53.56,392241,53.56
2025-06-17,53.8,54.01,51.4,51.64,695180,51.64
2025-06-18,51.5,52.03,51.12,51.61,334095,51.61
2025-06-19,51.64,52.19,51.11,51.38,373167,51.38
2025-06-20,51.55,52.13,51.43,51.56,240608,51.56
2025-06-23,51.48,51.98,51.0,51.76,313281,51.76
2025-06-24,51.89,52.3,51.53,51.95,451035,51.95
2025-06-25,51.95,52.83,51.11,52.75,536482,52.75
2025-06-26,52.4,52.75,51.7,51.88,392269,51.88
2025-06-27,51.71,51.87,51.47,51.75,287765,51.75
2025-06-30,51.71,51.99,50.79,51.7,445355,51.7
2025-07-01,51.69,52.54,51.6,52.26,397725,52.26
2025-07-02,52.2,53.24,51.9,52.05,325712,52.05
2025-07-03,52.06,52.38,51.61,52.27,293678,52.27
2025-07-04,52.41,53.59,52.4,53.06,477923,53.06
2025-07-07,53.18,53.39,52.36,52.45,286388,52.45
2025-07-08,52.49,53.49,52.3,53.2,359263,53.2
2025-07-09,53.2,57.74,52.82,56.99,1158212,56.99
2025-07-10,56.93,58.08,56.41,57.4,903716,57.4
2025-07-11,57.31,57.92,56.68,56.7,658632,56.7
2025-07-14,56.55,57.85,56.36,57.01,473758,57.01
2025-07-15,57.05,57.33,56.32,57.02,436928,57.02
2025-07-16,57.45,58.7,56.84,57.02,398191,57.02
2025-07-17,56.7,57.7,56.64,57.53,444146,57.53
2025-07-18,58.01,59.66,57.7,58.56,660986,58.56
2025-07-21,58.3,58.6,57.48,57.8,509442,57.8
2025-07-22,57.8,58.65,57.0,57.21,475570,57.21
2025-07-23,57.0,57.88,56.67,56.93,425295,56.93
2025-07-24,57.24,57.78,56.75,57.3,465834,57.3
2025-07-25,57.3,57.35,56.15,56.2,505394,56.2
2025-07-28,59.9,61.84,59.46,61.84,1630096,61.84
2025-07-29,62.8,65.23,61.93,63.6,1682769,63.6
2025-07-30,63.61,64.53,62.45,63.39,980849,63.39
2025-07-31,63.2,64.05,62.3,62.7,742039,62.7
2025-08-01,62.63,63.38,60.56,61.11,734655,61.11
2025-08-04,60.4,61.85,59.8,61.8,689613,61.8
2025-08-05,61.91,62.26,61.36,62.1,541443,62.1
2025-08-06,61.99,62.35,61.18,61.38,572479,61.38
2025-08-07,61.05,61.9,60.5,60.61,504764,60.61
2025-08-08,60.5,60.93,59.8,60.79,362971,60.79
2025-08-11,60.79,61.22,60.48,60.87,425752,60.87
2025-08-12,61.12,61.25,60.06,60.65,391835,60.65
2025-08-13,60.65,63.31,60.65,62.41,815296,62.41
2025-08-14,62.65,63.4,62.16,62.62,571266,62.62
2025-08-15,62.44,64.07,62.26,63.2,614933,63.2
2025-08-18,63.2,63.75,62.61,62.88,728858,62.88
2025-08-19,63.2,65.2,61.43,61.49,997700,61.49
2025-08-20,61.46,62.77,60.91,62.65,650424,62.65
2025-08-21,63.78,65.13,62.75,63.79,858629,63.79
