Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,13.69,14.99,13.66,14.46,847600,14.46
2025-05-28,15.29,15.92,14.54,14.55,1168817,14.55
2025-05-29,14.99,16.02,14.62,16.02,1072580,16.02
2025-05-30,16.82,17.64,15.94,17.64,1752701,17.64
2025-06-03,17.64,18.54,16.43,17.45,1714451,17.45
2025-06-04,17.19,17.19,15.69,15.75,1326116,15.75
2025-06-05,15.45,15.74,15.14,15.28,831995,15.28
2025-06-06,15.14,15.8,15.13,15.44,662728,15.44
2025-06-09,15.24,15.66,15.12,15.52,476951,15.52
2025-06-10,15.67,15.71,14.86,15.14,608090,15.14
2025-06-11,15.18,15.64,15.14,15.43,528942,15.43
2025-06-12,15.29,15.89,15.2,15.64,522344,15.64
2025-06-13,15.49,15.74,14.98,15.04,425041,15.04
2025-06-16,14.84,15.02,14.62,14.74,372953,14.74
2025-06-17,14.69,14.83,14.51,14.64,232913,14.64
2025-06-18,14.66,14.66,14.32,14.34,257258,14.34
2025-06-19,14.24,14.52,14.15,14.18,288964,14.18
2025-06-20,14.19,14.42,13.97,14.18,230201,14.18
2025-06-23,14.0,14.88,13.99,14.78,382194,14.78
2025-06-24,15.3,15.5,15.1,15.2,564352,15.2
2025-06-25,15.1,15.9,15.1,15.79,632991,15.79
2025-06-26,15.52,16.26,15.51,15.63,596993,15.63
2025-06-27,15.64,16.98,15.64,16.57,748027,16.57
2025-06-30,16.2,16.64,15.98,16.34,600849,16.34
2025-07-01,16.27,16.5,15.95,16.08,486115,16.08
2025-07-02,16.2,16.36,15.85,15.85,341880,15.85
2025-07-03,15.86,16.18,15.82,16.11,354997,16.11
2025-07-04,16.05,16.35,15.81,15.87,346861,15.87
2025-07-07,15.8,16.28,15.71,16.14,287798,16.14
2025-07-08,16.1,16.3,16.03,16.27,275076,16.27
2025-07-09,16.25,16.51,15.78,15.8,428225,15.8
2025-07-10,15.73,15.94,15.27,15.94,430296,15.94
2025-07-11,15.83,15.94,15.61,15.76,243282,15.76
2025-07-14,15.7,16.69,15.65,16.46,559059,16.46
2025-07-15,16.36,16.6,16.29,16.42,341609,16.42
2025-07-16,16.47,16.88,16.32,16.39,463388,16.39
2025-07-17,16.3,16.74,16.28,16.57,330841,16.57
2025-07-18,16.58,17.14,16.54,17.08,509597,17.08
2025-07-21,17.09,17.2,16.82,16.9,369692,16.9
2025-07-22,16.84,16.89,16.29,16.4,408560,16.4
2025-07-23,16.3,16.47,16.07,16.09,256982,16.09
2025-07-24,16.01,16.55,16.01,16.44,255414,16.44
2025-07-25,16.37,16.55,16.2,16.44,217909,16.44
2025-07-28,16.4,16.73,16.37,16.57,227340,16.57
