Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,71.45,72.0,69.61,70.16,94253,70.16
2025-05-28,70.6,71.4,69.6,70.0,78692,70.0
2025-05-29,69.6,70.8,69.6,70.17,67869,70.17
2025-05-30,70.17,71.4,68.63,68.74,82326,68.74
2025-06-03,68.55,69.26,67.74,68.78,55382,68.78
2025-06-04,69.01,69.98,68.53,69.72,58644,69.72
2025-06-05,69.62,71.65,68.65,70.83,99007,70.83
2025-06-06,70.33,70.92,69.19,69.8,70086,69.8
2025-06-09,70.73,71.9,69.93,70.15,76095,70.15
2025-06-10,70.15,71.51,67.33,70.7,119554,70.7
2025-06-11,70.03,71.28,69.58,70.74,91155,70.74
2025-06-12,69.94,70.73,69.66,69.85,62989,69.85
2025-06-13,69.3,69.66,67.64,68.02,83974,68.02
2025-06-16,67.45,68.75,67.33,68.03,47275,68.03
2025-06-17,68.02,68.52,67.33,67.47,49398,67.47
2025-06-18,67.33,68.29,66.53,67.56,61691,67.56
2025-06-19,67.33,70.58,67.05,68.3,135409,68.3
2025-06-20,67.6,68.14,65.11,65.13,101229,65.13
2025-06-23,63.84,65.51,63.84,65.24,50827,65.24
2025-06-24,65.48,70.94,65.45,69.31,173192,69.31
2025-06-25,69.22,71.17,68.68,70.63,138507,70.63
2025-06-26,71.34,75.83,70.23,70.33,176668,70.33
2025-06-27,69.83,71.17,68.71,69.24,101226,69.24
2025-06-30,69.08,69.69,68.94,69.32,63345,69.32
2025-07-01,69.31,69.52,68.0,68.42,63986,68.42
2025-07-02,68.01,68.19,66.55,67.09,56837,67.09
2025-07-03,66.88,67.43,66.33,66.75,41191,66.75
2025-07-04,67.16,67.33,65.84,66.2,53513,66.2
2025-07-07,66.19,66.81,65.44,66.25,40719,66.25
2025-07-08,66.23,67.43,65.94,67.23,61134,67.23
2025-07-09,68.73,70.83,67.5,67.83,151690,67.83
2025-07-10,66.49,66.85,65.84,66.1,78712,66.1
2025-07-11,65.92,69.33,65.63,67.82,110812,67.82
2025-07-14,69.32,78.7,69.18,75.39,334407,75.39
2025-07-15,74.83,79.81,73.83,77.08,317719,77.08
2025-07-16,75.83,80.8,74.89,76.21,275144,76.21
2025-07-17,75.57,82.82,75.23,80.04,330608,80.04
2025-07-18,78.76,80.83,78.65,79.23,207537,79.23
2025-07-21,87.83,95.11,83.43,95.11,458213,95.11
2025-07-22,98.38,101.82,93.05,97.65,515589,97.65
2025-07-23,93.76,98.41,91.83,93.36,310497,93.36
2025-07-24,93.43,96.32,92.83,95.39,235724,95.39
2025-07-25,95.5,95.51,91.39,91.4,220777,91.4
2025-07-28,92.88,95.51,91.92,93.12,210464,93.12
2025-07-29,92.07,97.49,92.07,94.13,249842,94.13
2025-07-30,92.88,94.99,89.23,90.45,217854,90.45
2025-07-31,88.85,91.02,87.53,88.13,177285,88.13
2025-08-01,87.47,88.13,85.55,86.0,132516,86.0
2025-08-04,86.41,93.66,86.41,93.65,300220,93.65
2025-08-05,93.68,95.79,92.68,94.54,242653,94.54
2025-08-06,93.69,109.61,92.67,101.83,364791,101.83
2025-08-07,101.36,104.71,98.93,102.63,296121,102.63
2025-08-08,100.49,100.82,96.11,96.15,237956,96.15
2025-08-11,96.83,98.63,95.83,96.52,166444,96.52
2025-08-12,95.82,97.33,94.59,96.28,163388,96.28
2025-08-13,95.4,100.79,94.49,98.98,268108,98.98
2025-08-14,97.83,101.93,94.08,97.98,274054,97.98
2025-08-15,96.88,100.22,96.64,99.46,222303,99.46
2025-08-18,100.02,102.81,98.2,101.48,278529,101.48
2025-08-19,99.76,103.82,97.85,99.33,247683,99.33
2025-08-20,98.83,109.04,98.08,101.13,269239,101.13
2025-08-21,98.83,101.03,96.33,96.36,205590,96.36
2025-08-22,96.13,98.01,94.73,97.19,140350,97.19
2025-08-25,97.23,101.78,97.23,98.53,185508,98.53
2025-08-26,97.93,98.33,95.84,96.06,144087,96.06
2025-08-27,96.03,97.83,92.88,92.88,159239,92.88
2025-08-28,92.46,92.63,88.89,92.41,173829,92.41
2025-08-29,91.49,93.83,90.49,91.53,125807,91.53
2025-09-01,90.93,92.8,90.73,91.88,93713,91.88
2025-09-02,91.91,99.83,87.83,96.75,290224,96.75
2025-09-03,99.28,99.73,91.58,92.24,180731,92.24
